channel_name,sta_PSNR,weight1,weight2,inner_product,PSNR0,PSNR1,max_weight,number_of_samples,number_of_spikes,eig1,eig2,eig3,cell_type
21b,8.954060508596292,0.5079365079365079,0.4920634920634922,-0.004795663052543781,6.738474205133757,6.792631991605322,0.5079365079365079,63,241,5.766456616581649,5.400769381532678,5.400769381532678,unknown
21c,9.642001719150347,0.5000000000000001,0.5000000000000001,0.6622879036672138,6.9517921075817695,7.297366036698833,0.5000000000000001,58,121,6.186044681002589,5.7455743657757745,5.7455743657757745,unknown
21d,8.160056450641584,0.4952830188679245,0.5047169811320755,-0.09898040254237288,8.028389336893127,5.8552001047730435,0.5047169811320755,212,246,2.446412915429374,2.1535601787765,2.1535601787765,unknown
21e,11.634252367221858,0.5,0.5,0.2724217601344255,7.788118326489742,10.18003718527468,0.5,132,138,2.547134682930083,2.4317836229580174,2.4317836229580174,ON
22a,17.556723676819928,0.4004437049362174,0.5995562950637826,-0.4037711213685923,13.5019676973659,18.442460790360855,0.5995562950637826,1803,2860,0.8382460621062953,0.7044585153727682,0.7044585153727682,ON
22b,6.267734998652674,0.4887810794420861,0.5112189205579138,-0.3605621367389039,10.64108637995006,8.915254848946784,0.5112189205579138,1649,2413,0.8351593208933968,0.7824299738723601,0.7824299738723601,unknown
23a,6.406902984849997,0.5,0.5,-0.29276497695852544,5.494256460458252,6.005637887932857,0.5,154,361,2.940301393013888,2.8109136177163583,2.8109136177163583,unknown
23b,18.10371598660873,0.5052816901408451,0.4947183098591549,0.18872653583617752,13.693795751184485,13.678893673932324,0.5052816901408451,568,1130,1.3112854028655858,1.2059935363355778,1.2059935363355778,OFF
23c,7.998063527732367,0.5,0.5,0.02918963053684415,6.588318745753843,6.6260678299729685,0.5,68,140,5.08164773661531,4.593444223664407,4.593444223664407,OFF
23d,9.449286908244662,0.5,0.5,-0.22745320476460584,6.713748257563871,7.0796821975241055,0.5,76,84,5.011314973813984,4.122496624928405,4.122496624928405,OFF
