channel_name,num_samples,num_spikes,max,max_time_bin,min,min_time_bin,sigma
72d,130,132,0.6893939393939394,2,0.23484848484848486,5,0.048352140817144305
72e,37,39,0.7435897435897436,7,0.23076923076923078,3,0.08572803762125422
73a,1546,3329,0.8672273956142986,5,0.17092219885851606,4,0.0302602577098095
73b,837,1269,0.7486209613869188,5,0.24980299448384555,4,0.02933399777576001
73c,765,802,0.7693266832917706,5,0.22942643391521197,4,0.02985078841633303
74a,1170,1975,0.610126582278481,2,0.3331645569620253,3,0.020652050027182976
74b,381,483,0.5962732919254659,0,0.3064182194616977,5,0.03130562408953654
74c,76,85,0.7529411764705882,5,0.32941176470588235,4,0.0647145923321354
74d,107,109,0.6697247706422018,7,0.27522935779816515,5,0.052392619779928165
75a,4310,10187,0.6586826347305389,4,0.16049867478158436,5,0.02524256274291668
76a,1475,2444,0.602291325695581,3,0.42757774140752863,5,0.016574847712531093
76b,794,826,0.5569007263922519,0,0.40314769975786924,5,0.019189145338746817
76c,496,527,0.5901328273244781,5,0.42125237191650855,3,0.0246004630493525
77a,236,245,0.6653061224489796,3,0.2,5,0.039787763541557275
82a,3219,5543,0.7306512718744362,5,0.36676889770882193,4,0.02411871149156725
82b,1617,2842,0.6277269528501056,3,0.19528501055594652,5,0.027886833645728505
82c,644,729,0.6872427983539094,3,0.20713305898491083,5,0.029180259136612645
83a,6618,17646,0.6459254221919982,4,0.24730817182364276,5,0.01958646343961518
83b,1058,1300,0.6530769230769231,4,0.2123076923076923,5,0.02992832956345706
83c,639,784,0.6900510204081632,3,0.05612244897959184,5,0.03792725268088306
85a,533,859,0.689173457508731,4,0.13387660069848661,5,0.04018390137199762
85b,397,468,0.6623931623931624,3,0.22008547008547008,5,0.03627885721682554
86a,1461,3186,0.9136848713119899,5,0.17294413057124922,4,0.03783893057250724
86b,1332,1684,0.5623515439429929,4,0.4524940617577197,4,0.016203864458649835
86c,526,705,0.7035460992907802,5,0.4269503546099291,4,0.027015984318869733
86d,149,151,0.7284768211920529,5,0.32450331125827814,3,0.04654825291008956
87a,3872,9120,0.7161184210526316,4,0.11348684210526316,5,0.02780056754434067
87b,3512,3797,0.7447985251514353,5,0.42349223070845404,3,0.019283382406423178
87c,535,595,0.5915966386554622,3,0.32100840336134456,5,0.026294817393321273
