channel_name,cell_type,PSNR,eig1,eig2,eig3,converged,PSNR1,PSNR2,weight1,weight2,inner_product
17c,unknown,8.831727372236802,0.8030356124683484,0.7855355791801178,0.7644009787263571,True,8.437536332435462,7.072614753408233,0.6180368376474432,0.38196316235255623,0.050192981060003194
17d,unknown,6.011536729431407,1.3876227661997285,1.357243958775422,1.3371451774162733,True,5.923595639476142,6.287747918879527,0.07734446293647661,0.9226555370635234,-0.06928505474211838
21a,OFF,12.683605034021378,0.8760804681379074,0.7269124859341458,0.7157582105611473,True,11.62451993392068,9.745268796988954,0.5639951878032518,0.43600481219674775,0.3393540961108528
21b,unknown,6.825660733486293,3.527679922848523,3.326524966955601,3.231764928590781,True,5.156284172911476,6.6126463789816885,0.07190598927069111,0.9280940107293081,-0.0718
21c,unknown,6.416462435907995,3.3158112195621703,2.7005339499563257,2.5317522326683806,True,5.788156581009271,5.481838767357215,0.8801011024270387,0.11989889757296165,0.0823095823095823
21d,unknown,5.881659141766155,5.168798048721214,4.807884693991363,3.743671763935318,True,5.719557559946378,3.388807341625126,0.9610519662555315,0.038948033744468695,0.011217948717948678
21e,unknown,5.69381117618291,2.766960885289237,2.6063453944974255,2.5259431161923995,True,6.253415503827678,5.501561908019842,0.5795568280359014,0.4204431719640986,-0.9507989907485281
22a,ON,13.508429755057866,1.2748325920554058,1.2597292913927107,1.1765244706538278,True,6.088654136556787,13.447961588660128,0.048175278817850976,0.9518247211821478,0.606351161154117
22b,OFF,9.245969808206745,2.560740600888083,2.5369864930750983,2.452072627156922,True,9.47641665796256,2.744447759929264,0.9855072463878436,0.014492753612156467,0.31488984553051413
22c,ON,9.968029059854047,2.511391662421777,2.387363050856201,2.1934485167294766,True,3.3773416899283943,9.902816519724551,0.022900763358778643,0.9770992366412213,0.7500000000000001
23a,OFF,22.562122905110904,0.604327702984987,0.5175773470336891,0.5162715899041542,True,20.37161347681533,13.620788144143216,0.5875671604638594,0.4124328395361402,0.04230087485744566
23b,ON,11.990694163288456,0.7005431786488336,0.6080366695907325,0.5957936697792656,True,17.493184565276646,17.109227734795823,0.5170346465997943,0.48296535340020624,-0.3105997518136694
24a,OFF,25.760075553773024,0.4741648972583282,0.46757201661608255,0.46252027857210265,True,21.989515759391836,10.836977423697755,0.5343260680826284,0.4656739319173713,-0.05677511029081442
24b,OFF,26.300101530502573,0.580598972658191,0.5727728650786622,0.5678133552404742,True,22.453474419835956,17.856442957838077,0.5428020858398782,0.4571979141601227,0.09748489901316434
24c,ON,10.217182927399614,1.5524828927728536,1.4863234183390026,1.370655803870321,True,9.750445591669125,5.747149018327935,0.9680114341986367,0.03198856580136409,0.5050287356321838
24d,OFF,21.997641740360763,1.330884124827458,1.2487060811646404,1.222199853594839,True,8.42927689104215,22.11990232108158,0.09569276279134892,0.9043072372086502,0.5533955115126785
24e,OFF,16.27000491842659,2.9849996167064905,2.2870025408327117,2.235435764470073,True,16.259886072693718,2.799329259645596,0.986013986013986,0.013986013986014002,0.4381944444444446
24f,OFF,15.255057462712678,3.152895150205066,2.6174955686819135,2.5707168283981052,True,15.080453085163768,3.4210202593906676,0.9680998372927084,0.03190016270729157,0.5879120879120878
25a,OFF,23.587193053092058,0.5993653656887472,0.5748201393986473,0.5666092793005663,True,18.414474782238052,19.67277972628437,0.47329213442186036,0.5267078655781395,0.1073583938100619
25b,ON,24.393970518359595,1.0206570965710737,0.8438145496129504,0.8329333988023038,True,10.23995812525686,25.280583200205974,0.07877134616547284,0.9212286538345283,0.8530326304677349
25c,OFF,19.921343119919268,0.9350805588304434,0.902820872542284,0.8988081972061548,True,19.528074442936763,9.461870867482059,0.8869837919435992,0.11301620805640124,0.4073463429195078
25d,OFF,20.59484653343476,1.0310892946664167,0.9437702645162686,0.9098729622772367,True,6.840814042799992,20.63523248632106,0.03452347418159614,0.9654765258184037,0.6283275950479819
26a,OFF,21.131143070267015,0.8145283828188846,0.715476069882857,0.7004595532943768,True,17.523037027846723,19.614747449183255,0.49635088401912286,0.5036491159808772,0.2895652150913054
26b,OFF,15.455339629532702,0.9139702890556937,0.8994788417123081,0.8793722446862071,True,14.88850640531189,7.386018315287181,0.9695778487231926,0.030422151276807734,0.342098703888335
27a,unknown,6.304380038340844,0.7153030085483273,0.7081100932531589,0.6994940726287324,True,6.049719516518762,6.270970672083237,0.516217029363261,0.4837829706367392,-0.35405223218159126
27b,unknown,6.125969640461241,1.9873121514361802,1.886913870608472,1.8741761792884015,True,5.468262829599752,6.118942227797844,0.591763720710785,0.4082362792892155,-0.8083583083583084
